Id,Label,timeset,d0,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
감소,감소,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
매출,매출,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
창,창,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
네이버파이낸셜,네이버파이낸셜,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
카카오뱅크,카카오뱅크,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오전,오전,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
닷컴,닷컴,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대금,대금,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
조회,조회,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
기사,기사,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
골드만,골드만,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
삭스,삭스,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
통합,통합,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
운용,운용,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
빅데이터,빅데이터,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인공지능,인공지능,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
내부,내부,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
협회,협회,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
번호,번호,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
비밀,비밀,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
기기,기기,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
포인트,포인트,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
레터,레터,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
오픈,오픈,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
사태,사태,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
분기,분기,,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
스마트폰,스마트폰,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
보안,보안,,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금,금,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
통,통,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
등록,등록,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
세상,세상,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
파스,파스,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
발의,발의,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
마스터,마스터,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
토스,토스,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
민주당,민주당,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
금융업,금융업,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
예정,예정,,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
타임스,타임스,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
시중은행,시중은행,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
기획,기획,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
비바리퍼블리카,비바리퍼블리카,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
단말기,단말기,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강조,강조,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
현지,현지,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
완화,완화,,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
통과,통과,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이날,이날,,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
센터,센터,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
사진,사진,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충전,충전,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
선불,선불,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
프로젝트,프로젝트,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
채굴,채굴,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
주가,주가,,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
성공,성공,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
국민카드,국민카드,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
위챗,위챗,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
해소,해소,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
영상,영상,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
공인,공인,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
증서,증서,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
